Cidade,Estado,Mês,Temp min(°C),Temp max(°C),Precipitação (mm)
Rio Branco,AC,Outubro,21°,33°,171
Rio Branco,AC,Novembro,21°,32°,221
Rio Branco,AC,Dezembro,21°,31°,265
Acrelândia,AC,Outubro,23°,33°,169
Acrelândia,AC,Novembro,23°,31°,233
Acrelândia,AC,Dezembro,23°,29°,252
Assis Brasil,AC,Outubro,23°,33°,145
Assis Brasil,AC,Novembro,23°,31°,203
Assis Brasil,AC,Dezembro,22°,29°,235
Brasiléia,AC,Outubro,23°,33°,135
Brasiléia,AC,Novembro,23°,31°,206
Brasiléia,AC,Dezembro,23°,29°,222
Bujari,AC,Outubro,23°,33°,151
Bujari,AC,Novembro,23°,31°,201
Bujari,AC,Dezembro,23°,29°,247
Maceió,AL,Outubro,21°,29°,74
Maceió,AL,Novembro,22°,30°,32
Maceió,AL,Dezembro,22°,30°,63
Água Branca,AL,Outubro,21°,33°,14
Água Branca,AL,Novembro,22°,34°,19
Água Branca,AL,Dezembro,23°,34°,42
Anadia,AL,Outubro,19°,28°,42
Anadia,AL,Novembro,20°,30°,28
Anadia,AL,Dezembro,20°,30°,33
Arapiraca,AL,Outubro,21°,29°,26
Arapiraca,AL,Novembro,22°,30°,19
Arapiraca,AL,Dezembro,22°,31°,26
Atalaia,AL,Outubro,20°,28°,42
Atalaia,AL,Novembro,21°,30°,28
Atalaia,AL,Dezembro,21°,30°,33
Manaus,AM,Outubro,24°,33°,113
Manaus,AM,Novembro,24°,32°,174
Manaus,AM,Dezembro,24°,31°,220
Alvarães,AM,Outubro,24°,33°,198
Alvarães,AM,Novembro,24°,31°,194
Alvarães,AM,Dezembro,24°,30°,232
Amaturá,AM,Outubro,24°,32°,212
Amaturá,AM,Novembro,24°,31°,225
Amaturá,AM,Dezembro,23°,30°,272
Anamã,AM,Outubro,25°,33°,138
Anamã,AM,Novembro,24°,31°,202
Anamã,AM,Dezembro,24°,29°,270
Anori,AM,Outubro,24°,33°,153
Anori,AM,Novembro,24°,31°,207
Anori,AM,Dezembro,24°,29°,284
Macapá,AP,Outubro,24°,33°,32
Macapá,AP,Novembro,24°,32°,59
Macapá,AP,Dezembro,23°,31°,133
Amapá,AP,Outubro,25°,35°,74
Amapá,AP,Novembro,25°,35°,87
Amapá,AP,Dezembro,24°,32°,168
Calçoene,AP,Outubro,25°,36°,74
Calçoene,AP,Novembro,25°,35°,87
Calçoene,AP,Dezembro,24°,32°,168
Cutias,AP,Outubro,24°,34°,91
Cutias,AP,Novembro,24°,33°,103
Cutias,AP,Dezembro,23°,31°,184
Ferreira Gomes,AP,Outubro,24°,34°,83
Ferreira Gomes,AP,Novembro,24°,33°,99
Ferreira Gomes,AP,Dezembro,23°,31°,168
Salvador,BA,Outubro,23°,28°,115
Salvador,BA,Novembro,23°,29°,137
Salvador,BA,Dezembro,23°,29°,143
Abaíra,BA,Outubro,17°,28°,62
Abaíra,BA,Novembro,18°,28°,128
Abaíra,BA,Dezembro,18°,28°,129
Abaré,BA,Outubro,22°,34°,11
Abaré,BA,Novembro,24°,35°,30
Abaré,BA,Dezembro,24°,34°,56
Abrantes,BA,Outubro,25°,27°,80
Abrantes,BA,Novembro,26°,27°,96
Abrantes,BA,Dezembro,26°,28°,67
Acajutiba,BA,Outubro,20°,30°,49
Acajutiba,BA,Novembro,21°,31°,61
Acajutiba,BA,Dezembro,21°,32°,59
Fortaleza,CE,Outubro,24°,31°,13
Fortaleza,CE,Novembro,24°,31°,12
Fortaleza,CE,Dezembro,25°,31°,44
Abaiara,CE,Outubro,22°,33°,14
Abaiara,CE,Novembro,23°,34°,34
Abaiara,CE,Dezembro,23°,33°,88
Acarape,CE,Outubro,24°,31°,6
Acarape,CE,Novembro,24°,32°,9
Acarape,CE,Dezembro,25°,32°,30
Acaraú,CE,Outubro,23°,32°,4
Acaraú,CE,Novembro,23°,32°,4
Acaraú,CE,Dezembro,23°,32°,31
Acopiara,CE,Outubro,23°,35°,12
Acopiara,CE,Novembro,24°,35°,8
Acopiara,CE,Dezembro,23°,34°,49
Brasília,DF,Outubro,17°,28°,167
Brasília,DF,Novembro,18°,27°,231
Brasília,DF,Dezembro,18°,26°,246
Boa Vista,DF,Outubro,20°,31°,117
Boa Vista,DF,Novembro,19°,27°,207
Boa Vista,DF,Dezembro,19°,26°,232
Brazlândia,DF,Outubro,20°,31°,133
Brazlândia,DF,Novembro,19°,27°,211
Brazlândia,DF,Dezembro,19°,26°,255
Ceilândia,DF,Outubro,20°,31°,133
Ceilândia,DF,Novembro,19°,27°,211
Ceilândia,DF,Dezembro,19°,26°,255
Cruzeiro,DF,Outubro,20°,31°,117
Cruzeiro,DF,Novembro,19°,27°,207
Cruzeiro,DF,Dezembro,19°,26°,232
Vitória,ES,Outubro,21°,27°,144
Vitória,ES,Novembro,22°,28°,165
Vitória,ES,Dezembro,22°,30°,176
Afonso Cláudio,ES,Outubro,17°,25°,104
Afonso Cláudio,ES,Novembro,18°,24°,211
Afonso Cláudio,ES,Dezembro,18°,25°,253
Água Doce do Norte,ES,Outubro,19°,28°,82
Água Doce do Norte,ES,Novembro,19°,26°,180
Água Doce do Norte,ES,Dezembro,20°,27°,216
Águia Branca,ES,Outubro,19°,28°,82
Águia Branca,ES,Novembro,20°,27°,180
Águia Branca,ES,Dezembro,20°,28°,216
Alegre,ES,Outubro,19°,28°,110
Alegre,ES,Novembro,19°,27°,213
Alegre,ES,Dezembro,20°,28°,270
Goiânia,GO,Outubro,20°,31°,167
Goiânia,GO,Novembro,20°,30°,219
Goiânia,GO,Dezembro,20°,29°,268
Abadia de Goiás,GO,Outubro,23°,33°,126
Abadia de Goiás,GO,Novembro,21°,30°,206
Abadia de Goiás,GO,Dezembro,21°,29°,264
Abadiânia,GO,Outubro,21°,31°,137
Abadiânia,GO,Novembro,19°,27°,206
Abadiânia,GO,Dezembro,19°,26°,267
Acreúna,GO,Outubro,23°,34°,112
Acreúna,GO,Novembro,22°,31°,178
Acreúna,GO,Dezembro,21°,30°,248
Adelândia,GO,Outubro,23°,32°,132
Adelândia,GO,Novembro,21°,29°,205
Adelândia,GO,Dezembro,20°,28°,287
São Luís,MA,Outubro,24°,31°,8
São Luís,MA,Novembro,24°,31°,11
São Luís,MA,Dezembro,24°,31°,77
Açailândia,MA,Outubro,24°,33°,68
Açailândia,MA,Novembro,24°,33°,120
Açailândia,MA,Dezembro,23°,31°,196
Afonso Cunha,MA,Outubro,24°,36°,20
Afonso Cunha,MA,Novembro,24°,35°,34
Afonso Cunha,MA,Dezembro,24°,33°,104
Água Doce do Maranhão,MA,Outubro,26°,33°,5
Água Doce do Maranhão,MA,Novembro,26°,33°,7
Água Doce do Maranhão,MA,Dezembro,26°,33°,42
Alcântara,MA,Outubro,26°,31°,12
Alcântara,MA,Novembro,26°,31°,12
Alcântara,MA,Dezembro,26°,30°,62
Abadia dos Dourados,MG,Outubro,21°,32°,96
Abadia dos Dourados,MG,Novembro,20°,29°,181
Abadia dos Dourados,MG,Dezembro,20°,28°,268
Abaeté,MG,Outubro,20°,31°,90
Abaeté,MG,Novembro,20°,28°,180
Abaeté,MG,Dezembro,20°,28°,261
Abre Campo,MG,Outubro,17°,26°,103
Abre Campo,MG,Novembro,18°,24°,209
Abre Campo,MG,Dezembro,18°,24°,283
Acaiaca,MG,Outubro,18°,27°,101
Acaiaca,MG,Novembro,18°,26°,214
Acaiaca,MG,Dezembro,19°,25°,307
Açucena,MG,Outubro,19°,29°,89
Açucena,MG,Novembro,19°,27°,211
Açucena,MG,Dezembro,20°,27°,274
Campo Grande,MS,Outubro,19°,31°,148
Campo Grande,MS,Novembro,20°,30°,207
Campo Grande,MS,Dezembro,20°,30°,225
Água Clara,MS,Outubro,22°,34°,116
Água Clara,MS,Novembro,23°,33°,142
Água Clara,MS,Dezembro,23°,33°,208
Albuquerque,MS,Outubro,25°,36°,81
Albuquerque,MS,Novembro,25°,36°,119
Albuquerque,MS,Dezembro,25°,36°,171
Alcinópolis,MS,Outubro,23°,34°,128
Alcinópolis,MS,Novembro,22°,32°,195
Alcinópolis,MS,Dezembro,22°,30°,247
Amambai,MS,Outubro,20°,31°,184
Amambai,MS,Novembro,20°,31°,187
Amambai,MS,Dezembro,22°,32°,199
Cuiabá,MT,Outubro,23°,34°,117
Cuiabá,MT,Novembro,23°,34°,160
Cuiabá,MT,Dezembro,23°,33°,201
Acorizal,MT,Outubro,25°,36°,133
Acorizal,MT,Novembro,24°,34°,176
Acorizal,MT,Dezembro,24°,32°,215
Água Boa,MT,Outubro,25°,35°,127
Água Boa,MT,Novembro,23°,32°,215
Água Boa,MT,Dezembro,22°,30°,290
Alcantilado,MT,Outubro,23°,33°,131
Alcantilado,MT,Novembro,22°,31°,207
Alcantilado,MT,Dezembro,22°,30°,308
Alta Floresta,MT,Outubro,23°,34°,189
Alta Floresta,MT,Novembro,23°,32°,248
Alta Floresta,MT,Dezembro,22°,29°,324
Belém,PA,Outubro,22°,32°,115
Belém,PA,Novembro,22°,32°,118
Belém,PA,Dezembro,22°,32°,203
Abaetetuba,PA,Outubro,24°,33°,74
Abaetetuba,PA,Novembro,24°,33°,79
Abaetetuba,PA,Dezembro,24°,31°,173
Abel Figueiredo,PA,Outubro,25°,35°,80
Abel Figueiredo,PA,Novembro,24°,34°,136
Abel Figueiredo,PA,Dezembro,23°,31°,211
Acará,PA,Outubro,22°,32°,85
Acará,PA,Novembro,23°,32°,90
Acará,PA,Dezembro,23°,31°,184
Afuá,PA,Outubro,28°,30°,44
Afuá,PA,Novembro,28°,30°,58
Afuá,PA,Dezembro,27°,29°,145
João Pessoa,PB,Outubro,23°,29°,35
João Pessoa,PB,Novembro,24°,30°,25
João Pessoa,PB,Dezembro,24°,30°,29
Água Branca,PB,Outubro,19°,32°,16
Água Branca,PB,Novembro,19°,32°,20
Água Branca,PB,Dezembro,20°,31°,39
Aguiar,PB,Outubro,22°,35°,13
Aguiar,PB,Novembro,22°,35°,18
Aguiar,PB,Dezembro,23°,34°,46
Alagoa Grande,PB,Outubro,20°,30°,13
Alagoa Grande,PB,Novembro,21°,30°,15
Alagoa Grande,PB,Dezembro,21°,30°,19
Alagoa Nova,PB,Outubro,19°,29°,13
Alagoa Nova,PB,Novembro,20°,30°,15
Alagoa Nova,PB,Dezembro,20°,30°,19
Recife,PE,Outubro,21°,29°,63
Recife,PE,Novembro,22°,30°,36
Recife,PE,Dezembro,22°,30°,57
Abreu e Lima,PE,Outubro,23°,28°,51
Abreu e Lima,PE,Novembro,23°,29°,46
Abreu e Lima,PE,Dezembro,24°,29°,49
Afogados da Ingazeira,PE,Outubro,19°,31°,16
Afogados da Ingazeira,PE,Novembro,19°,32°,20
Afogados da Ingazeira,PE,Dezembro,20°,31°,39
Afrânio,PE,Outubro,23°,34°,21
Afrânio,PE,Novembro,24°,34°,49
Afrânio,PE,Dezembro,24°,33°,76
Agrestina,PE,Outubro,18°,26°,21
Agrestina,PE,Novembro,18°,28°,18
Agrestina,PE,Dezembro,19°,28°,26
Teresina,PI,Outubro,23°,36°,20
Teresina,PI,Novembro,23°,35°,73
Teresina,PI,Dezembro,23°,34°,118
Acauã,PI,Outubro,24°,35°,22
Acauã,PI,Novembro,25°,35°,45
Acauã,PI,Dezembro,24°,33°,79
Agricolândia,PI,Outubro,25°,37°,38
Agricolândia,PI,Novembro,25°,37°,69
Agricolândia,PI,Dezembro,25°,35°,133
Água Branca,PI,Outubro,25°,37°,38
Água Branca,PI,Novembro,25°,37°,69
Água Branca,PI,Dezembro,25°,35°,133
Alagoinha do Piauí,PI,Outubro,25°,36°,14
Alagoinha do Piauí,PI,Novembro,25°,35°,28
Alagoinha do Piauí,PI,Dezembro,25°,33°,77
Curitiba,PR,Outubro,13°,23°,133
Curitiba,PR,Novembro,14°,25°,127
Curitiba,PR,Dezembro,15°,25°,152
Abatiá,PR,Outubro,18°,29°,126
Abatiá,PR,Novembro,18°,29°,129
Abatiá,PR,Dezembro,19°,29°,176
Adrianópolis,PR,Outubro,15°,24°,129
Adrianópolis,PR,Novembro,16°,25°,121
Adrianópolis,PR,Dezembro,17°,25°,169
Água Boa,PR,Outubro,20°,31°,159
Água Boa,PR,Novembro,21°,31°,144
Água Boa,PR,Dezembro,21°,32°,178
Agudos do Sul,PR,Outubro,14°,21°,149
Agudos do Sul,PR,Novembro,15°,22°,136
Agudos do Sul,PR,Dezembro,16°,23°,173
Rio de Janeiro,RJ,Outubro,20°,26°,87
Rio de Janeiro,RJ,Novembro,21°,27°,98
Rio de Janeiro,RJ,Dezembro,22°,29°,134
Abarracamento,RJ,Outubro,17°,26°,108
Abarracamento,RJ,Novembro,18°,24°,171
Abarracamento,RJ,Dezembro,18°,25°,256
Abraão,RJ,Outubro,19°,26°,162
Abraão,RJ,Novembro,20°,26°,187
Abraão,RJ,Dezembro,21°,27°,239
Afonso Arinos,RJ,Outubro,17°,26°,101
Afonso Arinos,RJ,Novembro,18°,24°,167
Afonso Arinos,RJ,Dezembro,18°,25°,252
Agulhas Negras,RJ,Outubro,16°,25°,134
Agulhas Negras,RJ,Novembro,17°,23°,200
Agulhas Negras,RJ,Dezembro,17°,24°,292
Natal,RN,Outubro,23°,30°,17
Natal,RN,Novembro,23°,30°,15
Natal,RN,Dezembro,24°,30°,21
Acari,RN,Outubro,21°,31°,7
Acari,RN,Novembro,21°,32°,6
Acari,RN,Dezembro,21°,31°,19
Açu,RN,Outubro,22°,35°,4
Açu,RN,Novembro,23°,35°,4
Açu,RN,Dezembro,24°,34°,15
Afonso Bezerra,RN,Outubro,22°,34°,3
Afonso Bezerra,RN,Novembro,23°,34°,3
Afonso Bezerra,RN,Dezembro,23°,34°,13
Água Nova,RN,Outubro,24°,36°,7
Água Nova,RN,Novembro,24°,36°,9
Água Nova,RN,Dezembro,24°,34°,27
Porto Velho,RO,Outubro,22°,33°,193
Porto Velho,RO,Novembro,22°,33°,225
Porto Velho,RO,Dezembro,22°,32°,319
Alta Floresta d'Oeste,RO,Outubro,22°,32°,158
Alta Floresta d'Oeste,RO,Novembro,22°,30°,204
Alta Floresta d'Oeste,RO,Dezembro,22°,28°,261
Alto Alegre do Parecis,RO,Outubro,22°,32°,159
Alto Alegre do Parecis,RO,Novembro,22°,30°,191
Alto Alegre do Parecis,RO,Dezembro,22°,28°,263
Alto Paraíso,RO,Outubro,24°,33°,181
Alto Paraíso,RO,Novembro,23°,31°,218
Alto Paraíso,RO,Dezembro,23°,29°,275
Alvorada d'Oeste,RO,Outubro,23°,33°,153
Alvorada d'Oeste,RO,Novembro,22°,31°,195
Alvorada d'Oeste,RO,Dezembro,22°,29°,237
Boa Vista,RR,Outubro,24°,34°,64
Boa Vista,RR,Novembro,24°,33°,61
Boa Vista,RR,Dezembro,23°,33°,44
Alto Alegre,RR,Outubro,24°,33°,142
Alto Alegre,RR,Novembro,24°,31°,168
Alto Alegre,RR,Dezembro,23°,29°,241
Amajari,RR,Outubro,25°,33°,138
Amajari,RR,Novembro,24°,31°,202
Amajari,RR,Dezembro,24°,29°,270
Bonfim,RR,Outubro,25°,35°,102
Bonfim,RR,Novembro,25°,33°,144
Bonfim,RR,Dezembro,24°,30°,194
Cantá,RR,Outubro,24°,33°,64
Cantá,RR,Novembro,24°,32°,64
Cantá,RR,Dezembro,24°,32°,51
Porto Alegre,RS,Outubro,15°,24°,121
Porto Alegre,RS,Novembro,17°,27°,92
Porto Alegre,RS,Dezembro,19°,29°,93
Aceguá,RS,Outubro,13°,24°,112
Aceguá,RS,Novembro,14°,26°,109
Aceguá,RS,Dezembro,16°,29°,99
Água Santa,RS,Outubro,14°,23°,229
Água Santa,RS,Novembro,15°,25°,165
Água Santa,RS,Dezembro,16°,26°,159
Agudo,RS,Outubro,14°,24°,173
Agudo,RS,Novembro,16°,26°,139
Agudo,RS,Dezembro,17°,29°,128
Ajuricaba,RS,Outubro,16°,25°,226
Ajuricaba,RS,Novembro,17°,27°,159
Ajuricaba,RS,Dezembro,19°,30°,154
Florianópolis,SC,Outubro,17°,23°,110
Florianópolis,SC,Novembro,19°,25°,130
Florianópolis,SC,Dezembro,20°,27°,137
Abdon Batista,SC,Outubro,14°,23°,212
Abdon Batista,SC,Novembro,15°,24°,156
Abdon Batista,SC,Dezembro,16°,25°,148
Abelardo Luz,SC,Outubro,15°,25°,234
Abelardo Luz,SC,Novembro,16°,26°,166
Abelardo Luz,SC,Dezembro,17°,27°,173
Agrolândia,SC,Outubro,13°,21°,165
Agrolândia,SC,Novembro,14°,22°,132
Agrolândia,SC,Dezembro,15°,24°,144
Agronômica,SC,Outubro,13°,21°,165
Agronômica,SC,Novembro,14°,22°,132
Agronômica,SC,Dezembro,15°,23°,144
Aracaju,SE,Outubro,23°,28°,66
Aracaju,SE,Novembro,24°,29°,52
Aracaju,SE,Dezembro,24°,29°,56
Amparo de São Francisco,SE,Outubro,20°,30°,39
Amparo de São Francisco,SE,Novembro,21°,32°,28
Amparo de São Francisco,SE,Dezembro,22°,33°,27
Aquidabã,SE,Outubro,21°,29°,38
Aquidabã,SE,Novembro,22°,31°,29
Aquidabã,SE,Dezembro,23°,32°,28
Arauá,SE,Outubro,23°,28°,54
Arauá,SE,Novembro,24°,30°,54
Arauá,SE,Dezembro,24°,30°,43
Areia Branca,SE,Outubro,20°,29°,54
Areia Branca,SE,Novembro,21°,30°,44
Areia Branca,SE,Dezembro,22°,31°,33
São Paulo,SP,Outubro,15°,25°,127
São Paulo,SP,Novembro,17°,26°,137
São Paulo,SP,Dezembro,18°,26°,201
Adamantina,SP,Outubro,22°,34°,106
Adamantina,SP,Novembro,23°,33°,133
Adamantina,SP,Dezembro,23°,32°,191
Adolfo,SP,Outubro,22°,33°,100
Adolfo,SP,Novembro,22°,32°,121
Adolfo,SP,Dezembro,22°,31°,200
Agissê,SP,Outubro,21°,32°,125
Agissê,SP,Novembro,21°,32°,135
Agissê,SP,Dezembro,21°,31°,189
Aguaí,SP,Outubro,18°,30°,133
Aguaí,SP,Novembro,19°,29°,165
Aguaí,SP,Dezembro,19°,28°,266
Palmas,TO,Outubro,21°,33°,121
Palmas,TO,Novembro,21°,31°,197
Palmas,TO,Dezembro,21°,31°,212
Abreulândia,TO,Outubro,25°,35°,180
Abreulândia,TO,Novembro,24°,33°,256
Abreulândia,TO,Dezembro,23°,31°,330
Aguiarnópolis,TO,Outubro,24°,35°,103
Aguiarnópolis,TO,Novembro,24°,34°,133
Aguiarnópolis,TO,Dezembro,23°,31°,188
Aliança do Tocantins,TO,Outubro,25°,35°,132
Aliança do Tocantins,TO,Novembro,24°,33°,204
Aliança do Tocantins,TO,Dezembro,23°,31°,272
Almas,TO,Outubro,24°,34°,101
Almas,TO,Novembro,23°,32°,216
Almas,TO,Dezembro,22°,30°,276
